Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,4_JV_REST_Music,208,0,5700.0,6834.46504278845,244.65350000537,23056.461100000888,167584.0,4.748642772705224,0.0,5700,8500,11000,15000,16000,18000,19000,19000,23000,23000,23000
GET,4_JV_REST_Play,60,0,16000.0,15083.254130000078,7845.300499997393,22590.867300001264,213135.0,1.3698007998188144,0.0,16000,18000,19000,19000,22000,22000,22000,23000,23000,23000,23000
GET,4_JV_REST_Users,283,2,20000.0,17212.45037950535,123.56369999906747,34684.95819999953,18154.57597173145,6.460893772478742,0.04566002666062715,20000,21000,21000,21000,25000,30000,34000,35000,35000,35000,35000
,Aggregated,551,2,16000.0,13062.95360090747,123.56369999906747,34684.95819999953,95795.49364791288,12.579337345002779,0.04566002666062715,16000,19000,20000,21000,21000,25000,30000,34000,35000,35000,35000
