Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,1_PY_REST_Music,118,0,11000.0,15530.172283898397,5306.9297000038205,35621.89669999498,173584.0,2.631504025463996,0.0,11000,17000,24000,26000,27000,28000,35000,35000,36000,36000,36000
GET,1_PY_REST_Users,350,0,11000.0,10494.780375428734,564.2729000028339,20685.013499998604,23783.0,7.805308550105072,0.0,11000,14000,14000,16000,18000,18000,20000,20000,21000,21000,21000
,Aggregated,468,0,11000.0,11764.38773696596,564.2729000028339,35621.89669999498,61553.33760683761,10.436812575569068,0.0,11000,14000,14000,17000,19000,26000,27000,30000,36000,36000,36000
