Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,1_PY_REST_Music,94,0,3000.0,3045.72953723363,1848.8826999964658,7670.768900003168,173584.0,2.090934295456713,0.0,3000,3200,3400,3500,3800,4000,6200,7700,7700,7700,7700
GET,1_PY_REST_Play,77,0,17000.0,18245.236348051778,15225.289200003317,26522.81529999891,547808.0,1.71278660372518,0.0,17000,18000,18000,18000,26000,26000,26000,27000,27000,27000,27000
GET,1_PY_REST_Users,116,0,1100.0,1729.9525103443211,377.3203000018839,8312.917600000219,23783.0,2.5803018965210507,0.0,1100,1600,1900,2000,2700,7800,8200,8300,8300,8300,8300
,Aggregated,287,0,2900.0,6591.833681184284,377.3203000018839,26522.81529999891,213438.81533101044,6.384022795702944,0.0,2900,3700,16000,17000,18000,18000,26000,26000,27000,27000,27000
