Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,1_PY_REST_Music,231,0,18000.0,16359.385066666819,6091.490500002692,29230.483799998183,173584.0,5.2179746184405005,0.0,18000,19000,20000,20000,22000,24000,26000,27000,29000,29000,29000
GET,1_PY_REST_Play,32,0,21000.0,21681.30954999947,15833.70080000168,30559.5433999988,547808.0,0.7228363107796365,0.0,21000,23000,23000,23000,24000,24000,31000,31000,31000,31000,31000
GET,1_PY_REST_Users,250,0,9700.0,7465.965270399957,523.3332999996492,11112.490199993772,23783.0,5.64715867796591,0.0,9700,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000
,Aggregated,513,0,11000.0,12357.331722417164,523.3332999996492,30559.5433999988,123924.97076023392,11.587969607186047,0.0,11000,14000,19000,20000,22000,23000,25000,26000,31000,31000,31000
