Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,3_PY_SOAP_Music,106,38,18000.0,13531.727994339813,2037.6343000025372,28463.003499993647,202652.18867924527,2.3915133496447116,0.8573349744009344,18000,19000,19000,20000,24000,25000,25000,28000,28000,28000,28000
POST,3_PY_SOAP_Play,38,38,2029.5391000036034,2040.1270236838363,2029.5391000036034,2057.2328999987803,0.0,0.8573349744009344,0.8573349744009344,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100
POST,3_PY_SOAP_Users,338,76,18000.0,16620.046261834388,2031.1857999986387,38379.40460000391,46200.36686390533,7.6257689828293636,1.7146699488018688,18000,19000,20000,21000,37000,38000,38000,38000,38000,38000,38000
,Aggregated,482,152,18000.0,14791.418321161891,2029.5391000036034,38379.40460000391,76964.43153526972,10.87461730687501,3.4293398976037377,18000,19000,20000,20000,28000,37000,38000,38000,38000,38000,38000
