Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,6_JV_SOAP_Music,120,0,2000.0,3701.662036666494,139.78409999981523,14423.806799997692,283826.0,2.709055832216232,0.0,2000,4600,4800,5200,6000,14000,14000,14000,14000,14000,14000
POST,6_JV_SOAP_Play,90,0,5700.0,10344.808264444553,3112.5507000033394,25764.95319999958,908539.0,2.031791874162174,0.0,5700,9700,17000,22000,24000,25000,26000,26000,26000,26000,26000
POST,6_JV_SOAP_Users,123,0,1500.0,4883.698839837711,264.5510000002105,22205.121200000576,40022.0,2.776782228021638,0.0,1500,3200,4400,12000,15000,20000,22000,22000,22000,22000,22000
,Aggregated,333,0,3700.0,5933.715151651734,139.78409999981523,25764.95319999958,362613.6216216216,7.517629934400044,0.0,3700,4800,5900,12000,17000,22000,25000,25000,26000,26000,26000
