Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,4_JV_REST_Music,336,0,4000.0,4697.575454166673,233.01380000339122,23399.763199995505,167584.0,7.5669774373366305,0.0,4100,5000,6500,6900,9600,11000,12000,12000,23000,23000,23000
GET,4_JV_REST_Play,107,0,14000.0,13998.543637382409,3970.1370999973733,26800.616399996215,213135.0,2.409721981532796,0.0,14000,17000,17000,18000,23000,24000,26000,26000,27000,27000,27000
GET,4_JV_REST_Users,387,1,20000.0,17403.83190697704,129.85779999871738,30743.310300000303,18236.043927648578,8.715536512646654,0.022520766182549497,20000,21000,21000,22000,23000,23000,23000,23000,31000,31000,31000
,Aggregated,830,1,11000.0,11821.099361204868,129.85779999871738,30743.310300000303,103820.50361445783,18.69223593151608,0.022520766182549497,11000,19000,20000,21000,22000,23000,23000,24000,31000,31000,31000
