Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,4_JV_REST_Music,170,0,1500.0,2424.9653205886716,81.91440000518924,9671.768799998972,167584.0,3.6257152962930275,0.0,1600,3300,3500,4200,6500,6700,6700,7700,9700,9700,9700
GET,4_JV_REST_Play,160,0,4500.0,5473.062284999879,831.9209999972372,13775.89910000097,213135.0,3.4124379259228492,0.0,4500,6700,6900,7400,10000,13000,13000,14000,14000,14000,14000
GET,4_JV_REST_Users,176,0,2400.0,3025.980735795325,228.20969999884255,9951.046599999245,18283.0,3.7536817185151343,0.0,2500,4100,5400,5600,5800,6400,9900,10000,10000,10000,10000
,Aggregated,506,0,3000.0,3597.8392877470965,81.91440000518924,13775.89910000097,130056.69565217392,10.791834940731011,0.0,3000,4300,5700,6300,6900,9900,10000,13000,14000,14000,14000
