Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,3_PY_SOAP_Music,93,0,16000.0,17705.97695161292,10050.48330000136,33807.04649999825,315899.0,2.093575733671332,0.0,16000,18000,19000,21000,29000,32000,34000,34000,34000,34000,34000
POST,3_PY_SOAP_Play,7,0,30000.0,29975.17408571626,28765.714500004833,30871.246400005475,38142.0,0.157580969201068,0.0,30000,30000,31000,31000,31000,31000,31000,31000,31000,31000,31000
POST,3_PY_SOAP_Users,250,0,8300.0,11708.502944399686,910.5452000003424,31599.919299995236,59602.0,5.6278917571810005,0.0,8300,8800,20000,20000,24000,29000,30000,30000,32000,32000,32000
,Aggregated,350,0,9100.0,13667.450889142674,910.5452000003424,33807.04649999825,127274.57428571429,7.879048460053401,0.0,9100,17000,20000,20000,28000,30000,32000,32000,34000,34000,34000
