Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,6_JV_SOAP_Music,277,0,8400.0,9308.68495379048,461.8874000007054,23948.212700001022,283826.0,6.169892545021724,0.0,8400,13000,13000,14000,17000,21000,23000,24000,24000,24000,24000
POST,6_JV_SOAP_Play,76,0,13000.0,13807.895644736498,3869.4515000024694,24406.2391999978,908539.0,1.69282250332726,0.0,13000,17000,18000,21000,22000,24000,24000,24000,24000,24000,24000
POST,6_JV_SOAP_Users,290,0,13000.0,10133.096652069293,324.51050000236137,23022.09839999705,40022.0,6.459454289011913,0.0,13000,13000,14000,14000,14000,14000,14000,18000,23000,23000,23000
,Aggregated,643,0,12000.0,10212.292115552162,324.51050000236137,24406.2391999978,247706.29237947124,14.322169337360897,0.0,12000,13000,14000,14000,15000,21000,23000,24000,24000,24000,24000
