Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,3_PY_SOAP_Music,166,0,5300.0,6159.23396807237,1787.499399993976,13101.999999998952,315899.0,3.670253527311108,0.0,5300,6800,8500,9400,11000,12000,13000,13000,13000,13000,13000
POST,3_PY_SOAP_Play,156,0,1800.0,2156.813965384432,250.84029999561608,6620.325200005027,38142.0,3.4491539172321253,0.0,1800,2900,3200,3300,4000,4600,5500,5800,6600,6600,6600
POST,3_PY_SOAP_Users,190,0,2300.0,2839.31607526285,265.0671000010334,8181.758200000331,59602.0,4.200892591500666,0.0,2300,4300,4800,5000,5300,5900,7700,8000,8200,8200,8200
,Aggregated,512,0,3300.0,3707.7458429686035,250.84029999561608,13101.999999998952,136159.69921875,11.320300036043898,0.0,3300,4400,5100,5300,7300,9800,12000,12000,13000,13000,13000
